GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
static-data-platform,com.staticdata.platform.enums,UserRole,0,15,0,0,0,3,0,1,0,1
static-data-platform,com.staticdata.platform.dto,LoginResponse,0,15,0,0,0,6,0,1,0,1
static-data-platform,com.staticdata.platform.dto,ApiResponse,72,0,0,0,18,0,7,0,7,0
static-data-platform,com.staticdata.platform,StaticDataPlatformApplication,5,3,0,0,2,1,1,1,1,1
static-data-platform,com.staticdata.platform.exception,GlobalExceptionHandler,317,70,10,2,64,13,16,4,10,4
static-data-platform,com.staticdata.platform.exception,ResourceNotFoundException,9,0,0,0,4,0,2,0,2,0
static-data-platform,com.staticdata.platform.exception,BusinessException,9,0,0,0,4,0,2,0,2,0
static-data-platform,com.staticdata.platform.config,SecurityConfig,0,333,0,0,0,38,0,8,0,8
static-data-platform,com.staticdata.platform.entity,AuditLog.ActionType,0,51,0,0,0,2,0,1,0,1
static-data-platform,com.staticdata.platform.entity,DataFile.ColumnDefinition.DataType,45,0,0,0,2,0,1,0,1,0
static-data-platform,com.staticdata.platform.entity,DataFile.AccessLevel,0,15,0,0,0,2,0,1,0,1
static-data-platform,com.staticdata.platform.entity,BaseEntity,11,0,0,0,5,0,2,0,2,0
static-data-platform,com.staticdata.platform.entity,OrganizationNode.NodeType,0,27,0,0,0,2,0,1,0,1
static-data-platform,com.staticdata.platform.controller,AuthController,107,201,7,15,26,47,7,13,1,8
static-data-platform,com.staticdata.platform.controller,OrganizationController,147,4,0,0,39,1,10,1,10,1
static-data-platform,com.staticdata.platform.controller,DataFileController,164,4,0,0,39,1,13,1,13,1
static-data-platform,com.staticdata.platform.service,OrganizationService,628,4,54,0,138,1,52,1,25,1
static-data-platform,com.staticdata.platform.service,AuthService,34,365,0,14,6,67,3,16,3,9
static-data-platform,com.staticdata.platform.service,DataFileService,1156,4,76,0,212,1,76,1,38,1
static-data-platform,com.staticdata.platform.security,CustomUserDetailsService,90,4,4,0,20,1,6,1,4,1
static-data-platform,com.staticdata.platform.security,UserPrincipal,19,31,2,2,5,10,7,3,5,3
static-data-platform,com.staticdata.platform.security,JwtAuthenticationFilter,103,4,20,0,25,1,13,1,3,1
static-data-platform,com.staticdata.platform.util,JwtUtils,39,174,1,1,11,59,2,10,1,10
